10-Nov-23 00:38:28 - __main__ - INFO - Starting transformation...
10-Nov-23 00:38:40 - __main__ - INFO - Retrieving tests...
10-Nov-23 00:38:40 - data - DEBUG - Starting Ubuntu Retrieving...
10-Nov-23 00:38:40 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:40 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:40 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:40 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:40 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:40 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:40 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:40 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:40 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:40 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:40 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:40 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:40 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:40 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:40 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:40 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:40 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:41 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:41 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:41 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:41 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:41 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:41 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:41 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:41 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:41 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:41 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:41 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:41 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:41 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:41 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:41 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:41 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:41 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:41 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:41 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:41 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:41 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:41 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:41 - data - DEBUG - Running spacy through text
10-Nov-23 00:38:41 - data - DEBUG - Running spacy through text
