DIRETÓRIO,,NUMERO E NOME DO ARQUIVO,Qnt. de TESTES,ANALISADO?,SMELL?,QUAL SMELL?
../testcases/image/,,1433_Post-installation (Xubuntu),,NÃO,,
../testcases/image/,,1434_Desktop (Xubuntu),13,SIM,SIM,"US, UP, AT, ES, OS"
../testcases/image/,,1436_Post-Installation Tests,,NÃO,,
../testcases/image/,,1437_Alternate Install (Entire Disk),,NÃO,,
../testcases/image/,,1438_Alternate Install (Guided),,NÃO,,
../testcases/image/,,1439_Alternate Install (Encryption),,NÃO,,
../testcases/image/,,1440_Live LTSP,,NÃO,,
../testcases/image/,,1441_Install (No Network Connection),,NÃO,,
../testcases/image/,,1442_Mythbuntu Frontend,,NÃO,,
../testcases/image/,,1443_Rescue Mode,,NÃO,,
../testcases/image/,,1444_Mythbuntu Backend & Frontend,1,SIM,SIM,"MPC, US"
../testcases/image/,,1445_Install Server iSCSI Root (virtualized KVM),2,SIM,SIM,"MPC, US"
../testcases/image/,,1446_Ubiquity MemTest,1,SIM,SIM,"US, AT, AI"
../testcases/image/,,1447_Ubiquity Disk Defects,,NÃO,,
../testcases/image/,,1448_Unity Lenses,,NÃO,,
../testcases/image/,,1450_Live (netbook),1,SIM,SIM,MPC
../testcases/image/,,1451_Install (entire disk with lvm and encryption),1,SIM,SIM,"CT, US, UWT, AT, UP"
../testcases/image/,,1452_Netboot Install (ARM Desktop),1,SIM,SIM,"US, UP"
../testcases/image/,,1453_Netboot Install (ARM Server),1,SIM,SIM,"US, UP, TC"
../testcases/image/,,1454_Dist-Upgrade,1,SIM,SIM,"AT, MPC, EH"
../testcases/image/,,1455_Post-installation (Ubuntu Studio),,NÃO,,
../testcases/image/,,1456_Install (JeOS on ESX),,NÃO,,
../testcases/image/,,1457_Install (default + RAID1),3,SIM,SIM,"US, ET, MS, MPC, TC, UT"
../testcases/image/,,1458_Install ((JeOS on KVM),,NÃO,,
../testcases/image/,,1459_iSCSI Unauthenticated Root Installation,,NÃO,,
../testcases/image/,,1460_iSCSI Authenticated Root Installation,,NÃO,,
../testcases/image/,,1461_MAAS (Installer),,NÃO,,
../testcases/image/,,1462_MAAS (Juju),,NÃO,,
../testcases/image/,,1463_MAAS (Server),,NÃO,,
../testcases/image/,,1464_ARM Headless,,NÃO,,
../testcases/image/,,1465_Netboot Install PPC,,NÃO,,
../testcases/image/,,1468_Install (upgrade),,NÃO,,
../testcases/image/,,1469_Other Features,,NÃO,,
../testcases/image/,,1470_Install (manual partitioning re-using home partition),,NÃO,,
../testcases/image/,,1471_Install (erase and re-install),,NÃO,,
../testcases/image/,,1493_Install Nexus7 (ubuntu-nexus7-installer),,NÃO,,
../testcases/image/,,1494_Nexus7 on screen keyboard,,NÃO,,
../testcases/image/,,1495_Nexus7 network manager,,NÃO,,
../testcases/image/,,1497_Install (live session),,NÃO,,
../testcases/image/,,1498_Upgrade (image),,NÃO,,
../testcases/image/,,1502_Xubuntu Raring Parole 0.5.0,,NÃO,,
../testcases/image/,,1503_Ubuntu Kylin Chinese Calendar,,NÃO,,
../testcases/image/,,1504_Netboot Install (Desktop),,NÃO,,
../testcases/image/,,1513_Ubuntu Kylin Weather Indicator,,NÃO,,
../testcases/image/,,1514_Ubuntu Kylin Music Lens,,NÃO,,
../testcases/image/,,1548_Ubuntu Kylin Fcitx Tests,,NÃO,,
../testcases/image/,,1552_EC2CloudImages test,,NÃO,,
../testcases/image/,,1611_Live Session Persistence,,NÃO,,
../testcases/image/,,1625_Post-Installation Tests (UbuntuKylin),,NÃO,,
../testcases/image/,,1628_Xubuntu Post-install,,NÃO,,
../testcases/image/,,1634_Kubuntu Localisation Support,,NÃO,,
../testcases/image/,,1635_Upgrade LTS,,NÃO,,
../testcases/image/,,1636_Upgrade LTS (Image),,NÃO,,
../testcases/image/,,1639_UbuntuStudio Install,,NÃO,,
../testcases/image/,,1640_Install_Minimal_System,,NÃO,,
../testcases/image/,,1641_Install_Minimal_Virtual_System,,NÃO,,
../testcases/image/,,1642_Server_Upgrade_CLI,,NÃO,,
../testcases/image/,,1655_Xubuntu Core Install tasksel,,NÃO,,
../testcases/image/,,1658_Xubuntu Core Upgrade taskesel,,NÃO,,
../testcases/image/,,1660_Alternate Install (Unencrypted Home),,NÃO,,
../testcases/image/,,1661_Alternate Install (Manual Partitioning),,NÃO,,
../testcases/image/,,1663_Image Boot Test,,NÃO,,
../testcases/image/,,1687_Xubuntu Core Install,,NÃO,,
../testcases/image/,,1688_ARM64_Headless_KVM_Guest,,NÃO,,
../testcases/image/,,1689_Install (no Network),,NÃO,,
../testcases/image/,,1696_Install BIOS (Server live),,NÃO,,
../testcases/image/,,1697_Install UEFI (Server live),,NÃO,,
../testcases/image/,,1698_Install_BIOS,,NÃO,,
../testcases/image/,,1699_Install_UEFI,,NÃO,,
../testcases/image/,,1700_Alternate Install (No Network),,NÃO,,
../testcases/image/,,1701_Install using Calamares (entire disk),,NÃO,,
../testcases/image/,,1702_Install using Calamares (manual partitioning),,NÃO,,
../testcases/image/,,1710_Install RAID1 (Server live),,NÃO,,
../testcases/image/,,1711_RaspberryPi 4 2GB Post-install,,NÃO,,
../testcases/image/,,1712_RaspberryPi Serial,,NÃO,,
../testcases/image/,,1713_RaspberryPi flash-kernel,,NÃO,,
../testcases/image/,,1714_RaspberryPi USB keyboard,,NÃO,,
../testcases/image/,,1715_Degraded RAID1 (Server live),,NÃO,,
../testcases/image/,,1716_Install (entire disk with ZFS),,NÃO,,
../testcases/image/,,1717_Install RST,,NÃO,,
../testcases/image/,,1718_Install UEFI SecureBoot nVidia,,NÃO,,
../testcases/image/,,1719_RaspberryPi 4 4GB Post-install,,NÃO,,
../testcases/image/,,1720_RaspberryPi 4 8GB Post-install,,NÃO,,
../testcases/image/,,1721_RaspberryPi 3B+ Post-install,,NÃO,,
../testcases/image/,,1722_RaspberryPi 3B Post-install,,NÃO,,
../testcases/image/,,1723_RaspberryPi 3A+ Post-install,,NÃO,,
../testcases/image/,,1724_RaspberryPi 2 Post-install,,NÃO,,
../testcases/image/,,1725_RaspberryPi CM3 Post-install,,NÃO,,
../testcases/image/,,1726_RaspberryPi CM3+ Post-install,,NÃO,,
../testcases/image/,,1727_RaspberryPi CM3+ Lite Post-install,,NÃO,,
../testcases/image/,,1728_PPC64EL Install using Netboot (Petitboot),,NÃO,,
../testcases/image/,,1729_S390X Install LPAR (Server live),,NÃO,,
../testcases/image/,,1730_S390X Install zVM (Server live),,NÃO,,
../testcases/image/,,1732_Netinstall (arm64 server live),,NÃO,,
../testcases/image/,,1733_Install (Safe Graphics mode),,NÃO,,
../testcases/image/,,1734_Netinstall (amd64 server live),,NÃO,,
../testcases/image/,,1735_Certified Devices Testing,,NÃO,,
../testcases/image/,,1736_Install Unleashed,,NÃO,,
../testcases/image/,,1737_Install Unmatched,,NÃO,,
../testcases/image/,,1738_Install Qemu,,NÃO,,
../testcases/image/,,1739_WSL Import and run,,NÃO,,
../testcases/image/,,1740_RaspberryPi 400 Post-install,,NÃO,,
../testcases/image/,,1741_RaspberryPi CM4 2GB Post-install,,NÃO,,
../testcases/image/,,1742_RaspberryPi CM4 4GB Post-install,,NÃO,,
../testcases/image/,,1743_RaspberryPi CM4 8GB Post-install,,NÃO,,
../testcases/image/,,1317_Upgrade to dev - ubuntu-desktop - text mode - non interactive,0,SIM,NÃO,--
../testcases/image/,,1304_VMWare Easy Install,1,SIM,NÃO,--
../testcases/image/,,1412_Unity GSetting Migration,1,SIM,NÃO,--
../testcases/image/,,1300_Install (entire disk),1,SIM,SIM,"AT, UWT, CT"
../testcases/image/,,1301_Install (auto-resize),1,SIM,SIM,"ET, US, CT"
../testcases/image/,,1302_Install (manual partitioning),1,SIM,SIM,"AT, ET, CT"
../testcases/image/,,1303_Live Session,2,SIM,SIM,UP
../testcases/image/,,1305_Install (OEM setup),1,SIM,SIM,"AT, CT, ET"
../testcases/image/,,1307_Free Software Only,1,SIM,SIM,"AT, CT, ET"
../testcases/image/,,1309_Install (Screen Reader),1,SIM,SIM,"US, UWT, UP"
../testcases/image/,,1310_Upgrade,1,SIM,SIM,"CT, ET"
../testcases/image/,,1311_Non-English Installation Full Network Support,1,SIM,SIM,"ET, CT"
../testcases/image/,,1312_Non-English Installation No Network,1,SIM,SIM,"ET, CT"
