DIRETÓRIO,,NUMERO E NOME DO ARQUIVO,Qnt. de TESTES,ANALISADO?,SMELL?,QUAL SMELL?
../transformation/transformed_testcases/testcases/image/,,1433_Post-installation (Xubuntu),,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1434_Desktop (Xubuntu),13,SIM,SIM,"US, UP, AT, ES, OS"
../transformation/transformed_testcases/testcases/image/,,1436_Post-Installation Tests,,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1437_Alternate Install (Entire Disk),,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1438_Alternate Install (Guided),,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1439_Alternate Install (Encryption),,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1440_Live LTSP,,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1441_Install (No Network Connection),,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1442_Mythbuntu Frontend,,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1443_Rescue Mode,,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1444_Mythbuntu Backend & Frontend,1,SIM,SIM,"MPC, US"
../transformation/transformed_testcases/testcases/image/,,1445_Install Server iSCSI Root (virtualized KVM),2,SIM,SIM,"MPC, US"
../transformation/transformed_testcases/testcases/image/,,1446_Ubiquity MemTest,1,SIM,SIM,"US, AT, AI"
../transformation/transformed_testcases/testcases/image/,,1447_Ubiquity Disk Defects,,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1448_Unity Lenses,,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1450_Live (netbook),1,SIM,SIM,MPC
../transformation/transformed_testcases/testcases/image/,,1451_Install (entire disk with lvm and encryption),1,SIM,SIM,"CT, US, UWT, AT, UP"
../transformation/transformed_testcases/testcases/image/,,1452_Netboot Install (ARM Desktop),1,SIM,SIM,"US, UP"
../transformation/transformed_testcases/testcases/image/,,1453_Netboot Install (ARM Server),1,SIM,SIM,"US, UP, TC"
../transformation/transformed_testcases/testcases/image/,,1454_Dist-Upgrade,1,SIM,SIM,"AT, MPC, EH"
../transformation/transformed_testcases/testcases/image/,,1455_Post-installation (Ubuntu Studio),,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1456_Install (JeOS on ESX),,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1457_Install (default + RAID1),3,SIM,SIM,"US, ET, MS, MPC, TC, UT"
../transformation/transformed_testcases/testcases/image/,,1458_Install ((JeOS on KVM),,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1459_iSCSI Unauthenticated Root Installation,,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1460_iSCSI Authenticated Root Installation,,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1461_MAAS (Installer),,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1462_MAAS (Juju),,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1463_MAAS (Server),,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1464_ARM Headless,,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1465_Netboot Install PPC,,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1468_Install (upgrade),,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1469_Other Features,,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1470_Install (manual partitioning re-using home partition),,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1471_Install (erase and re-install),,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1493_Install Nexus7 (ubuntu-nexus7-installer),,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1494_Nexus7 on screen keyboard,,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1495_Nexus7 network manager,,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1497_Install (live session),,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1498_Upgrade (image),,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1502_Xubuntu Raring Parole 0.5.0,,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1503_Ubuntu Kylin Chinese Calendar,,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1504_Netboot Install (Desktop),,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1513_Ubuntu Kylin Weather Indicator,,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1514_Ubuntu Kylin Music Lens,,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1548_Ubuntu Kylin Fcitx Tests,,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1552_EC2CloudImages test,,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1611_Live Session Persistence,,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1625_Post-Installation Tests (UbuntuKylin),,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1628_Xubuntu Post-install,,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1634_Kubuntu Localisation Support,,NÃO,,
../transformation/transformed_testcases/testcases/image/,,1635_Upgrade LTS,,NÃO,,
