Test file,Test index,Smell,Hint,Where,Term,Sentence
../testcases/image/1433_Post-installation (Xubuntu),0,Conditional Test Logic,dependent clause,action,If,"If you have a USB drive, plug it in"
../testcases/image/1433_Post-installation (Xubuntu),0,Conditional Test Logic,dependent clause,action,If,"If you have a DVD or an audio CD, insert it"
../testcases/image/1433_Post-installation (Xubuntu),0,Conditional Test Logic,dependent clause,action,If,"If you set up networking and are physically connected to the Internet, open Firefox and load xubuntu.org"
../testcases/image/1433_Post-installation (Xubuntu),0,Eager Action,multiple actions,action,"[Open, and install, would like]",Open Ubuntu Software Center and install applications you would like to use
../testcases/image/1433_Post-installation (Xubuntu),0,Eager Action,multiple actions,action,"[Log, , shutdown, or restart]","Log out, shutdown or restart"
../testcases/image/1433_Post-installation (Xubuntu),0,Eager Action,multiple actions,action,"[Open, and write]",Open a text editor and write some text
../testcases/image/1433_Post-installation (Xubuntu),0,Misplaced Action,,verification,Confirm,Confirm that the page loads
../testcases/image/1433_Post-installation (Xubuntu),0,Ambiguous Test,adverb of manner,action,physically,"If you set up networking and are physically connected to the Internet, open Firefox and load xubuntu.org"
../testcases/image/1433_Post-installation (Xubuntu),0,Ambiguous Test,adverb of manner,verification,correctly,The applications are installed correctly and appear in the applications menu
../testcases/image/1433_Post-installation (Xubuntu),0,Ambiguous Test,adverb of manner,verification,properly,The session is terminated properly
../testcases/image/1433_Post-installation (Xubuntu),0,Ambiguous Test,verb + indefinite determiner,action,have a,"If you have a USB drive, plug it in"
../testcases/image/1433_Post-installation (Xubuntu),0,Ambiguous Test,verb + indefinite determiner,action,have a,"If you have a DVD or an audio CD, insert it"
../testcases/image/1433_Post-installation (Xubuntu),0,Ambiguous Test,verb + indefinite determiner,action,Open a,Open a text editor and write some text
../testcases/image/1433_Post-installation (Xubuntu),0,Ambiguous Test,verb + indefinite determiner,action,write some,Open a text editor and write some text
../testcases/image/1433_Post-installation (Xubuntu),1,Eager Action,multiple actions,action,"[Click, and run]",Click the Application Finder icon and run any application from it
../testcases/image/1433_Post-installation (Xubuntu),1,Ambiguous Test,verb + indefinite determiner,action,run any,Click the Application Finder icon and run any application from it
../testcases/image/1434_Desktop (Xubuntu),0,Misplaced Action,,verification,Confirm,Confirm that there are no missing/wrong icons in the applications you tested
../testcases/image/1434_Desktop (Xubuntu),0,Ambiguous Test,verb + indefinite determiner,verification,are no,Confirm that there are no missing/wrong icons in the applications you tested
../testcases/image/1434_Desktop (Xubuntu),2,Conditional Test Logic,dependent clause,action,If,"If you have access to several methods to connect to Internet, try to connect with them all"
../testcases/image/1434_Desktop (Xubuntu),3,Eager Action,multiple actions,action,"[Go, , click, Keyboardand open]","Go to Applications ->Settings Manager, click on Keyboardand open the Layouttab"
../testcases/image/1434_Desktop (Xubuntu),3,Unverified Action,,action,,"Go to Applications ->Settings Manager, click on Keyboardand open the Layouttab"
../testcases/image/1434_Desktop (Xubuntu),3,Unverified Action,,action,,Add a few new keyboard layouts
../testcases/image/1434_Desktop (Xubuntu),3,Misplaced Action,,verification,Confirm,Confirm that you are able to switch between keyboard layouts
../testcases/image/1434_Desktop (Xubuntu),3,Ambiguous Test,verb + indefinite determiner,action,Add a,Add a few new keyboard layouts
../testcases/image/1434_Desktop (Xubuntu),4,Conditional Test Logic,dependent clause,action,If,"If you installed Xubuntu using English as the default keyboard layout and language, try to add different languages for your system:"
../testcases/image/1434_Desktop (Xubuntu),4,Conditional Test Logic,dependent clause,action,When,"When they have been successfully installed, log out from the session, and select alternating languages at the login screen, next to the right of the session selector (Xubuntu Session)"
../testcases/image/1434_Desktop (Xubuntu),4,Eager Action,multiple actions,action,"[, log, and select]","When they have been successfully installed, log out from the session, and select alternating languages at the login screen, next to the right of the session selector (Xubuntu Session)"
../testcases/image/1434_Desktop (Xubuntu),4,Unverified Action,,action,,"If you installed Xubuntu using English as the default keyboard layout and language, try to add different languages for your system:"
../testcases/image/1434_Desktop (Xubuntu),4,Unverified Action,,action,,Go to Language Support(Applications ->Settings Manager ->Language Support)
../testcases/image/1434_Desktop (Xubuntu),4,Unverified Action,,action,,Press the Install / Remove Languages...
../testcases/image/1434_Desktop (Xubuntu),4,Unverified Action,,action,,"Select as many languages as you like, and install them by pressing the Apply Changesbutton"
../testcases/image/1434_Desktop (Xubuntu),4,Misplaced Action,,verification,Confirm,Confirm that the main menus and outputs in the desktop are translated
../testcases/image/1434_Desktop (Xubuntu),4,Ambiguous Test,adverb of manner,action,successfully,"When they have been successfully installed, log out from the session, and select alternating languages at the login screen, next to the right of the session selector (Xubuntu Session)"
../testcases/image/1434_Desktop (Xubuntu),5,Eager Action,multiple actions,action,"[Go, Groupsand add]",Go to Applications ->Settings Manager ->Users and Groupsand add a new user
